0,1,2,3,4,label
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 10]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 10]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 8]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 6]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 3]","[1, 1950, 5]","[0, 40, 6]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 9]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1950, 6]","[0, 40, 6]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 10]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 10]","[1, 40, 13]","[1, 1950, 17]","[0, 40, 18]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1950, 5]","[0, 40, 6]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 9]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1950, 5]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 6]","[1, 40, 6]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1950, 5]","[0, 40, 5]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 6]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 1950, 10]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 11]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 8]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 3]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 60, 0]","[0, 60, 6]","[1, 52, 6]","[1, 629, 6]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 7]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 661, 6]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 629, 4]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 661, 4]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 661, 6]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 570, 8]","[0, 52, 12]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 26]","[1, 52, 26]","[1, 661, 27]","[0, 52, 36]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 629, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 597, 4]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 570, 3]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 629, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 629, 4]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 9]","[1, 52, 9]","[1, 570, 10]","[0, 52, 16]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 597, 7]","[0, 52, 8]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 597, 6]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 570, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 6]","[1, 52, 6]","[1, 570, 7]","[0, 52, 9]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 629, 5]","[0, 52, 6]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 629, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 629, 4]","[0, 52, 4]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 661, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 7]","[1, 52, 8]","[1, 597, 8]","[0, 52, 10]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 597, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 4]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 570, 5]","[0, 52, 5]",120
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 597, 4]","[0, 52, 5]",120
"[1, 52, 0]","[0, 48, 6]","[1, 40, 6]","[1, 1807, 11]","[0, 40, 12]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 2078, 5]","[0, 40, 6]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1775, 11]","[0, 40, 12]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1775, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 2078, 12]","[0, 40, 13]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 2078, 11]","[0, 40, 12]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 2078, 8]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1807, 9]","[0, 40, 11]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2014, 9]","[0, 40, 10]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2014, 10]","[0, 40, 11]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1871, 9]","[0, 40, 10]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1871, 5]","[0, 40, 6]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1775, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1839, 21]","[0, 40, 22]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1807, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2046, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2014, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2110, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 6]","[1, 1871, 31]","[0, 40, 32]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2078, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1839, 9]","[0, 40, 10]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2014, 12]","[0, 40, 13]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1871, 6]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1807, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1871, 13]","[0, 40, 14]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 2078, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 2014, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 2046, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1839, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1871, 42]","[0, 40, 43]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2014, 8]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2110, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1775, 46]","[0, 40, 48]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1871, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1839, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 2110, 5]","[0, 40, 6]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 2110, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2046, 14]","[0, 40, 15]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2078, 10]","[0, 40, 11]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1775, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 2014, 6]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1839, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1807, 12]","[0, 40, 13]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1807, 9]","[0, 40, 10]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2078, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1807, 10]","[0, 40, 11]",222
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 2110, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 2078, 9]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1871, 7]","[0, 40, 7]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2078, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 2110, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 2110, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2110, 8]","[0, 40, 9]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 2110, 9]","[0, 40, 10]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1839, 10]","[0, 40, 11]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1871, 101]","[0, 40, 103]",222
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 2110, 15]","[0, 40, 16]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1775, 7]","[0, 40, 8]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1839, 11]","[0, 40, 13]",222
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1807, 7]","[0, 40, 8]",222
