label,packet_index,mean_size,std_size,count
122,13,370.43,190.55438816381232,100
122,14,211.46,223.28866219910643,100
122,15,81.7,118.32146760824808,100
122,16,224.86,245.61565688915456,100
122,17,295.48,250.1971941481278,100
122,18,174.17,205.0209673928671,100
122,19,176.96,256.42731539523646,100
210,0,52.0,0.0,100
210,1,48.0,0.0,100
210,2,40.0,0.0,100
210,3,713.0,0.0,100
210,4,40.0,0.0,100
210,5,1500.0,0.0,100
210,6,1500.0,0.0,100
210,7,321.88,77.72696059952688,100
210,8,61.21,77.69927719591529,100
210,9,100.16,15.27572842086029,100
210,10,72.74,64.25055437405763,100
210,11,262.34,158.24289091536633,100
210,12,322.16,140.29569926524204,100
210,13,225.12,216.40778379921758,100
210,14,105.27,167.20868561607244,100
210,15,285.78,253.17581147327544,100
210,16,95.61,109.48547203103517,100
210,17,79.43,204.48112481116783,100
210,18,112.42,151.14085877723204,100
210,19,267.93,460.6439992449744,100
211,0,52.0,0.0,100
211,1,48.0,0.0,100
211,2,40.0,0.0,100
211,3,1935.0,0.0,100
211,4,40.0,0.0,100
211,5,507.2,684.48621150274,100
211,6,1500.0,0.0,100
211,7,1422.34,285.25704233554023,100
211,8,999.83,646.5963263056163,100
211,9,101.57,236.82526717332587,100
211,10,93.5,42.913467076963805,100
211,11,145.62,151.61346252955906,100
211,12,311.72,169.28990614691807,100
211,13,280.88,175.53895535887426,100
211,14,194.26,203.78824521764963,100
211,15,181.58,224.00167658102717,100
211,16,180.22,213.30670193622396,100
211,17,63.41,51.6437084867327,100
211,18,66.06,46.75118320762728,100
211,19,148.33,284.3444722319899,100
212,0,52.0,0.0,100
212,1,48.0,0.0,100
212,2,40.0,0.0,100
212,3,1950.0,0.0,100
212,4,40.0,0.0,100
212,5,463.4,665.8301114952202,100
212,6,1500.0,0.0,100
212,7,1241.18,411.13352496912165,100
212,8,451.61,270.82022420488437,100
212,9,69.69,85.2330963128215,100
212,10,88.48,29.395416395256333,100
212,11,106.56,129.9193471646035,100
212,12,231.19,165.73044287930233,100
212,13,286.68,174.0165370058695,100
212,14,191.57,209.56714673321054,100
212,15,148.32,205.94124296885155,100
212,16,209.04,228.22485456764835,100
212,17,68.68,50.54508538488838,100
212,18,84.93,157.22815275961878,100
212,19,200.53,356.1189636380324,100
220,0,52.0,0.0,100
220,1,48.0,0.0,100
220,2,40.0,0.0,100
220,3,600.38,33.946416481260464,100
220,4,40.0,0.0,100
220,5,1500.0,0.0,100
220,6,1014.0,0.6666666666666666,100
220,7,40.0,0.0,100
220,8,104.0,0.0,100
220,9,40.0,0.0,100
220,10,552.0,0.0,100
220,11,40.92,9.200000000000001,100
220,12,131.39,6.1,100
220,13,43.72,10.124557603503803,100
220,14,76.53,64.12825768990947,100
220,15,140.17,172.31185347643634,100
220,16,93.38,142.74352078911576,100
220,17,338.22,230.90198978979996,100
220,18,90.2,137.9055451892323,100
220,19,266.17,272.6130218771101,100
221,0,52.0,0.0,100
221,1,48.0,0.0,100
221,2,40.0,0.0,100
221,3,1825.56,36.15240467294483,100
221,4,40.0,0.0,100
221,5,551.0,699.8838287440093,100
221,6,1500.0,0.0,100
221,7,1199.67,411.3428871490071,100
221,8,431.33,288.60490118828363,100
221,9,61.76,30.470094628449495,100
221,10,81.6,30.679839068230542,100
221,11,214.72,243.382812736137,100
221,12,372.8,245.43871254584434,100
221,13,77.32,65.06451809666706,100
221,14,100.12,43.12286416903931,100
221,15,62.26,67.59947701668477,100
221,16,74.05,64.89671280837985,100
221,17,128.57,171.4100320602884,100
221,18,224.03,227.9713545269416,100
221,19,240.89,261.9416194883929,100
222,0,52.0,0.0,100
222,1,48.0,0.0,100
222,2,40.0,0.0,100
222,3,1949.2,126.74319857033113,100
222,4,40.0,0.0,100
222,5,492.75,663.7540066268009,100
222,6,1229.73,522.1563652757475,100
222,7,634.92,637.4355927852594,100
222,8,288.13,269.79908929768203,100
222,9,128.84,165.50533086717945,100
222,10,155.72,174.19483344806756,100
222,11,176.32,214.2006460486914,100
222,12,297.65,274.4994112337525,100
222,13,196.19,220.39407749288412,100
222,14,152.59,174.77183365286248,100
222,15,144.19,243.8607275566208,100
222,16,195.88,341.44293576502406,100
222,17,318.13,458.8008228529075,100
222,18,388.77,507.78731440108527,100
222,19,415.13,540.2930864752291,100
