0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,mean_size,mean_relative_time,duration,label,,,Statistics per label,,,,,
"[1, 52, 0]","[0, 48, 2]","[1, 40, 3]","[1, 713, 5]","[0, 40, 6]","[0, 1500, 11]","[0, 1500, 11]","[0, 342, 11]","[1, 40, 12]","[1, 104, 31]","[0, 40, 32]","[1, 210, 32]","[1, 410, 32]","[0, 40, 33]","[0, 552, 33]","[0, 71, 35]","[1, 40, 35]","[1, 71, 36]","[0, 40, 36]","[0, 292, 42]",307.25,21.9,42,210,,212,373.593±23.05,20.8295,39.75,2.0921 ± 7.2762,1950.00 ± 0,463.40 ± 662.49
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 713, 11]","[0, 40, 11]","[0, 1500, 16]","[0, 1500, 16]","[0, 343, 16]","[1, 40, 16]","[1, 40, 29]","[1, 104, 34]","[0, 40, 35]","[1, 210, 35]","[1, 410, 36]","[0, 40, 36]","[0, 40, 36]","[0, 552, 36]","[0, 71, 38]","[1, 40, 38]","[1, 71, 39]",294.7,24.55,39,210,,220,262.554±14.05,106.9785,245.37,12.9142 ± 48.9818,600.38 ± 33.78,1500.00 ± 0
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 7]","[0, 40, 9]","[0, 1500, 13]","[0, 1500, 13]","[0, 344, 13]","[1, 40, 13]","[1, 104, 26]","[0, 40, 27]","[1, 210, 28]","[1, 410, 28]","[0, 40, 28]","[0, 40, 29]","[0, 552, 30]","[0, 71, 31]","[1, 40, 31]","[1, 71, 32]","[0, 40, 33]",294.75,20,33,210,,221,366.284±10.17,70.3375,184.72,9.7221 ± 32.9211,1825.56 ± 35.97,551.00 ± 696.38
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 713, 9]","[0, 40, 10]","[0, 1500, 16]","[0, 1500, 16]","[0, 343, 16]","[1, 40, 16]","[1, 104, 35]","[0, 40, 35]","[1, 210, 36]","[1, 410, 36]","[0, 40, 36]","[0, 40, 36]","[0, 552, 37]","[0, 71, 38]","[1, 40, 38]","[1, 71, 40]","[0, 40, 40]",294.7,25.15,40,210,,222,367.207±35.36,41.3005,84.22,4.4326 ± 18.5325,1949.20 ± 126.11,492.75 ± 660.43
"[1, 52, 0]","[0, 48, 6]","[1, 40, 6]","[1, 713, 8]","[0, 40, 10]","[0, 1500, 16]","[0, 1500, 16]","[0, 343, 16]","[1, 40, 16]","[1, 104, 33]","[0, 40, 34]","[1, 210, 35]","[1, 410, 35]","[0, 40, 35]","[0, 40, 36]","[0, 552, 36]","[0, 71, 37]","[1, 40, 37]","[1, 71, 39]","[0, 40, 40]",294.7,24.55,40,210,,,,,,,,
"[1, 52, 0]","[0, 48, 8]","[1, 40, 8]","[1, 713, 10]","[0, 40, 12]","[0, 1500, 18]","[0, 1500, 18]","[0, 343, 18]","[1, 40, 18]","[1, 104, 35]","[0, 40, 37]","[0, 552, 39]","[1, 210, 40]","[1, 410, 40]","[0, 40, 41]","[0, 40, 41]","[1, 71, 43]","[0, 71, 43]","[0, 40, 43]","[0, 292, 52]",307.3,28.2,52,210,,,Statistics per-packet-index across sessions,,,,,
"[1, 52, 0]","[0, 48, 7]","[1, 40, 8]","[1, 713, 10]","[0, 40, 11]","[0, 1500, 15]","[0, 1500, 15]","[0, 342, 15]","[1, 40, 16]","[1, 104, 25]","[0, 40, 26]","[1, 210, 27]","[1, 410, 27]","[0, 40, 27]","[0, 40, 28]","[0, 552, 28]","[0, 71, 30]","[1, 40, 30]","[1, 71, 31]","[0, 40, 31]",294.65,20.35,31,210,,label,packet_index,mean_size,std_size,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 12]","[0, 1500, 12]","[0, 344, 12]","[1, 40, 12]","[1, 104, 37]","[1, 210, 38]","[0, 40, 38]","[1, 410, 38]","[0, 40, 38]","[0, 40, 39]","[0, 552, 40]","[0, 71, 40]","[1, 40, 41]","[1, 71, 41]","[0, 40, 42]",294.75,25.05,42,210,,110,0,60,0,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[0, 344, 13]","[1, 40, 13]","[1, 104, 30]","[0, 40, 31]","[1, 210, 32]","[1, 410, 32]","[0, 40, 32]","[0, 40, 33]","[0, 561, 64]","[1, 71, 66]","[0, 40, 67]","[0, 292, 71]","[0, 1431, 71]",375.8,30.2,71,210,,110,1,60,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 713, 6]","[0, 40, 6]","[0, 1500, 11]","[0, 1500, 11]","[0, 343, 11]","[1, 40, 12]","[1, 104, 22]","[0, 40, 23]","[1, 210, 24]","[1, 410, 25]","[0, 552, 25]","[0, 40, 25]","[0, 40, 26]","[0, 71, 27]","[1, 40, 27]","[1, 71, 27]","[0, 40, 28]",294.7,17.2,28,210,,110,2,52,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 713, 5]","[0, 40, 6]","[0, 1500, 13]","[0, 1500, 13]","[0, 342, 13]","[1, 40, 14]","[1, 104, 49]","[0, 40, 49]","[1, 210, 50]","[1, 410, 51]","[0, 552, 51]","[0, 40, 51]","[0, 40, 51]","[0, 71, 53]","[1, 40, 53]","[1, 71, 54]","[0, 40, 54]",294.65,31.9,54,210,,110,3,725,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[1, 40, 14]","[0, 343, 14]","[1, 104, 29]","[1, 210, 30]","[1, 410, 30]","[0, 40, 31]","[0, 561, 35]","[1, 71, 37]","[0, 40, 38]","[0, 246, 42]","[0, 1500, 43]","[0, 1035, 43]","[1, 40, 43]",426.65,23.8,43,210,,110,4,52,0,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 713, 9]","[0, 40, 10]","[0, 1500, 16]","[0, 1500, 16]","[0, 343, 16]","[1, 40, 18]","[1, 104, 29]","[0, 40, 30]","[1, 210, 31]","[1, 410, 31]","[0, 40, 31]","[0, 40, 31]","[0, 552, 32]","[0, 71, 32]","[1, 40, 33]","[1, 71, 37]","[0, 40, 38]",294.7,22.55,38,210,,110,5,1500,0,,,
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 713, 8]","[0, 40, 8]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 14]","[1, 104, 22]","[0, 40, 23]","[1, 210, 23]","[1, 410, 23]","[0, 40, 24]","[0, 40, 24]","[0, 552, 24]","[1, 71, 26]","[0, 71, 26]","[0, 40, 32]","[0, 292, 36]",307.3,18.4,36,210,,110,6,52,0,,,
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[0, 343, 13]","[1, 40, 13]","[1, 104, 24]","[0, 40, 25]","[1, 210, 25]","[1, 410, 25]","[0, 40, 26]","[0, 40, 27]","[0, 552, 27]","[0, 71, 28]","[1, 40, 29]","[1, 71, 29]","[0, 40, 30]",294.7,18.35,30,210,,110,7,1500,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 12]","[0, 1500, 12]","[0, 344, 12]","[1, 40, 13]","[1, 104, 30]","[0, 40, 31]","[1, 210, 32]","[1, 410, 32]","[0, 552, 33]","[0, 40, 33]","[1, 71, 34]","[0, 71, 35]","[0, 40, 35]","[0, 292, 44]","[1, 40, 44]",307.35,22.8,44,210,,110,8,68.36,71.67103863,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 13]","[0, 1500, 14]","[0, 344, 14]","[1, 40, 14]","[1, 104, 27]","[0, 40, 27]","[1, 210, 28]","[1, 410, 28]","[0, 40, 28]","[0, 40, 29]","[0, 552, 29]","[0, 71, 30]","[1, 40, 30]","[1, 71, 32]","[0, 40, 32]",294.75,20,32,210,,110,9,362.68,71.63767983,,,
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 713, 5]","[0, 40, 6]","[0, 1500, 12]","[0, 1500, 13]","[0, 343, 13]","[1, 40, 13]","[1, 104, 24]","[0, 40, 24]","[1, 210, 26]","[1, 410, 26]","[0, 552, 26]","[0, 40, 27]","[0, 40, 27]","[0, 71, 29]","[1, 71, 29]","[0, 40, 29]","[0, 292, 37]",307.3,18.65,37,210,,110,10,52,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[0, 344, 13]","[1, 40, 14]","[1, 104, 24]","[1, 210, 25]","[0, 40, 25]","[1, 410, 25]","[0, 40, 26]","[0, 552, 27]","[0, 71, 28]","[1, 40, 28]","[1, 71, 29]","[0, 40, 30]","[0, 246, 36]",305.05,18.9,36,210,,110,11,116,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 6]","[1, 713, 11]","[0, 40, 13]","[0, 1500, 18]","[0, 1500, 18]","[0, 344, 18]","[1, 40, 19]","[1, 104, 55]","[0, 40, 56]","[0, 552, 59]","[1, 210, 63]","[1, 410, 63]","[0, 40, 64]","[1, 71, 65]","[0, 40, 65]","[0, 71, 66]","[0, 246, 74]","[0, 1477, 74]",376.9,40.55,74,210,,110,12,215.2,33.48088555,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 15]","[0, 1500, 15]","[0, 343, 15]","[1, 40, 16]","[1, 104, 27]","[0, 40, 28]","[1, 210, 28]","[1, 410, 28]","[0, 40, 29]","[0, 40, 29]","[0, 552, 30]","[0, 71, 31]","[1, 40, 31]","[1, 71, 32]","[0, 40, 33]",294.7,20.75,33,210,,110,13,385.5,92.8006988,,,
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 13]","[0, 1500, 13]","[0, 344, 13]","[1, 40, 13]","[1, 104, 24]","[0, 40, 25]","[1, 210, 25]","[1, 410, 25]","[0, 40, 26]","[0, 40, 26]","[0, 552, 28]","[0, 71, 28]","[1, 40, 28]","[1, 71, 31]","[0, 40, 32]",294.75,19,32,210,,110,14,73.78,86.64202214,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 7]","[0, 40, 10]","[0, 1500, 16]","[0, 1500, 16]","[0, 343, 16]","[1, 40, 17]","[1, 104, 28]","[0, 40, 29]","[1, 210, 30]","[1, 410, 30]","[0, 40, 30]","[0, 40, 30]","[0, 552, 31]","[0, 71, 32]","[1, 40, 33]","[1, 71, 34]","[0, 40, 35]",294.7,21.7,35,210,,110,15,120.02,171.1485845,,,
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 713, 8]","[0, 40, 8]","[0, 1500, 15]","[0, 1500, 16]","[0, 344, 16]","[1, 40, 16]","[1, 104, 31]","[0, 40, 31]","[1, 210, 32]","[1, 410, 32]","[0, 40, 33]","[0, 552, 33]","[0, 40, 33]","[0, 71, 34]","[1, 40, 34]","[1, 71, 35]","[0, 40, 36]",294.75,22.5,36,210,,110,16,272.61,253.7968206,,,
"[1, 52, 0]","[0, 48, 17]","[1, 40, 18]","[1, 713, 22]","[0, 40, 23]","[0, 1500, 30]","[0, 1500, 31]","[0, 342, 31]","[1, 40, 31]","[1, 104, 48]","[0, 40, 49]","[0, 552, 50]","[1, 210, 56]","[1, 410, 56]","[0, 40, 57]","[0, 71, 59]","[1, 71, 61]","[0, 40, 62]","[0, 247, 66]","[0, 1500, 66]",378,41.65,66,210,,110,17,307.54,246.7286744,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 12]","[0, 40, 13]","[0, 1500, 18]","[0, 1500, 18]","[0, 342, 18]","[1, 40, 19]","[1, 104, 45]","[0, 40, 46]","[0, 552, 48]","[1, 210, 49]","[1, 410, 49]","[0, 40, 50]","[0, 40, 50]","[0, 71, 51]","[1, 40, 52]","[1, 71, 58]","[0, 40, 59]",294.65,33.2,59,210,,110,18,108.75,156.1424741,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 10]","[0, 1500, 11]","[1, 40, 11]","[0, 343, 11]","[1, 104, 26]","[0, 40, 27]","[1, 210, 27]","[1, 410, 27]","[0, 40, 28]","[0, 552, 29]","[0, 71, 30]","[1, 40, 30]","[1, 71, 31]","[0, 40, 32]","[0, 292, 42]",307.3,19.7,42,210,,110,19,234.07,382.7045239,,,
"[1, 52, 0]","[0, 48, 10]","[1, 40, 11]","[1, 713, 14]","[0, 40, 15]","[0, 1500, 19]","[0, 1500, 19]","[0, 343, 19]","[1, 40, 20]","[1, 104, 33]","[1, 210, 35]","[1, 410, 35]","[0, 40, 37]","[0, 561, 39]","[1, 71, 43]","[0, 40, 45]","[0, 293, 48]","[0, 1500, 48]","[0, 958, 48]","[0, 71, 48]",426.7,29.3,48,210,,111,0,60,0,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[0, 343, 13]","[1, 40, 14]","[1, 104, 24]","[1, 210, 25]","[1, 410, 25]","[0, 40, 26]","[0, 552, 29]","[0, 40, 29]","[0, 40, 30]","[0, 71, 31]","[1, 40, 32]","[1, 71, 32]","[0, 40, 33]",294.7,19.6,33,210,,111,1,60,0,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 12]","[0, 1500, 12]","[0, 344, 13]","[1, 40, 13]","[1, 104, 37]","[0, 40, 38]","[1, 210, 39]","[1, 410, 39]","[0, 40, 39]","[0, 40, 40]","[0, 552, 41]","[0, 71, 41]","[1, 40, 42]","[1, 71, 44]","[0, 40, 45]",294.75,25.9,45,210,,111,2,52,0,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 12]","[0, 1500, 12]","[0, 344, 12]","[1, 40, 13]","[1, 104, 33]","[0, 40, 34]","[1, 210, 34]","[1, 410, 34]","[0, 40, 35]","[0, 552, 37]","[0, 71, 37]","[1, 40, 38]","[1, 71, 41]","[0, 40, 42]","[0, 292, 49]",307.35,24.35,49,210,,111,3,1947,0,,,
"[1, 52, 0]","[0, 48, 6]","[1, 40, 6]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 13]","[0, 1500, 13]","[0, 343, 13]","[1, 40, 14]","[1, 104, 21]","[1, 210, 22]","[0, 40, 22]","[1, 410, 23]","[0, 40, 23]","[0, 40, 23]","[0, 552, 24]","[0, 71, 27]","[1, 40, 27]","[1, 71, 29]","[0, 40, 30]",294.7,17.55,30,210,,111,4,52,0,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 7]","[0, 40, 9]","[0, 1500, 15]","[0, 1500, 15]","[0, 342, 15]","[1, 40, 16]","[1, 104, 33]","[0, 40, 35]","[0, 552, 37]","[1, 210, 37]","[1, 410, 37]","[0, 40, 39]","[0, 40, 39]","[0, 71, 40]","[1, 40, 42]","[1, 71, 47]","[0, 40, 48]",294.65,26.05,48,210,,111,5,732.56,726.3364321,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 6]","[0, 40, 10]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 15]","[1, 104, 38]","[1, 210, 39]","[1, 410, 39]","[0, 40, 39]","[0, 40, 40]","[0, 40, 40]","[0, 552, 42]","[0, 71, 42]","[1, 40, 43]","[1, 71, 44]","[0, 40, 44]",294.7,26.65,44,210,,111,6,819.44,726.3364321,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 14]","[0, 1500, 14]","[0, 342, 14]","[1, 40, 14]","[1, 104, 25]","[1, 210, 26]","[0, 40, 26]","[1, 410, 26]","[0, 40, 27]","[0, 40, 27]","[0, 552, 28]","[0, 71, 28]","[1, 40, 28]","[1, 71, 31]","[0, 40, 31]",294.65,19.25,31,210,,111,7,732.56,726.3364321,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 6]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 16]","[0, 1500, 16]","[1, 40, 16]","[0, 344, 16]","[1, 40, 32]","[1, 104, 34]","[0, 40, 35]","[1, 210, 35]","[1, 410, 35]","[0, 40, 36]","[0, 40, 36]","[0, 552, 37]","[0, 71, 39]","[1, 40, 40]","[1, 71, 40]",294.75,24.5,40,210,,111,8,833.59,725.0165041,,,
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 713, 31]","[0, 40, 32]","[0, 1500, 37]","[0, 1500, 37]","[0, 342, 37]","[1, 40, 37]","[1, 104, 63]","[1, 210, 65]","[1, 410, 65]","[0, 40, 65]","[0, 40, 65]","[0, 40, 66]","[0, 552, 67]","[0, 71, 68]","[1, 40, 68]","[1, 71, 70]","[0, 40, 70]",294.65,47.5,70,210,,111,9,717.04,709.7726613,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 6]","[0, 40, 6]","[0, 1500, 11]","[0, 1500, 12]","[1, 40, 12]","[0, 342, 12]","[1, 104, 21]","[1, 210, 22]","[0, 40, 22]","[1, 410, 22]","[0, 40, 23]","[0, 40, 23]","[0, 552, 24]","[0, 71, 24]","[1, 40, 25]","[1, 71, 26]","[0, 40, 27]",294.65,16.35,27,210,,111,10,787.85,710.5436868,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 11]","[0, 1500, 11]","[1, 40, 11]","[0, 343, 11]","[1, 104, 24]","[0, 40, 25]","[1, 210, 25]","[0, 40, 26]","[0, 552, 27]","[0, 71, 28]","[1, 40, 28]","[1, 71, 31]","[0, 40, 32]","[1, 410, 39]","[0, 40, 40]",294.7,19.5,40,210,,111,11,82.08,32.10326771,,,
"[1, 52, 0]","[0, 48, 6]","[1, 40, 6]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 13]","[0, 1500, 13]","[0, 344, 13]","[1, 40, 14]","[1, 104, 24]","[0, 40, 24]","[1, 210, 24]","[1, 410, 24]","[0, 40, 25]","[0, 40, 26]","[0, 552, 26]","[0, 71, 27]","[1, 40, 27]","[1, 71, 29]","[0, 40, 30]",294.75,18.3,30,210,,111,12,155.62,57.58415537,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 14]","[0, 1500, 14]","[0, 342, 14]","[1, 40, 15]","[1, 104, 67]","[1, 210, 68]","[0, 40, 68]","[1, 410, 68]","[0, 40, 69]","[0, 40, 69]","[0, 552, 70]","[0, 71, 70]","[1, 40, 71]","[1, 71, 72]","[0, 40, 72]",294.65,42.4,72,210,,111,13,295.82,109.063264,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 9]","[0, 40, 10]","[0, 1500, 15]","[0, 1500, 15]","[0, 343, 15]","[1, 40, 15]","[1, 104, 32]","[1, 210, 33]","[1, 410, 33]","[0, 40, 33]","[0, 40, 33]","[0, 40, 33]","[0, 552, 35]","[0, 71, 35]","[1, 40, 35]","[1, 71, 37]","[0, 40, 38]",294.7,23.25,38,210,,111,14,250.98,180.9494589,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 7]","[0, 40, 9]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 15]","[1, 104, 24]","[0, 40, 25]","[1, 210, 26]","[1, 410, 26]","[0, 40, 26]","[0, 40, 26]","[0, 552, 28]","[0, 71, 29]","[1, 40, 29]","[1, 71, 31]","[0, 40, 31]",294.7,19.15,31,210,,111,15,111.59,153.3239849,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 8]","[0, 40, 10]","[0, 1500, 17]","[0, 1500, 17]","[0, 344, 17]","[1, 40, 18]","[1, 104, 30]","[0, 40, 31]","[0, 552, 33]","[1, 210, 34]","[1, 410, 35]","[0, 40, 35]","[0, 40, 36]","[0, 71, 37]","[1, 71, 39]","[0, 40, 40]","[0, 292, 47]",307.35,24.65,47,210,,111,16,200.35,231.6426792,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 7]","[0, 40, 8]","[0, 1500, 14]","[0, 1500, 14]","[0, 344, 14]","[1, 40, 14]","[1, 104, 27]","[0, 40, 29]","[1, 210, 29]","[1, 410, 29]","[0, 40, 29]","[0, 40, 30]","[0, 552, 31]","[0, 71, 31]","[1, 40, 31]","[1, 71, 33]","[0, 40, 34]",294.75,20.7,34,210,,111,17,211.08,231.351352,,,
"[1, 52, 0]","[0, 48, 14]","[1, 40, 14]","[1, 713, 16]","[0, 40, 16]","[0, 1500, 22]","[0, 1500, 22]","[0, 344, 22]","[1, 40, 22]","[1, 104, 38]","[0, 40, 38]","[1, 210, 40]","[0, 552, 40]","[1, 410, 40]","[0, 40, 41]","[0, 40, 41]","[0, 71, 43]","[1, 71, 44]","[0, 40, 44]","[0, 293, 53]",307.4,30.5,53,210,,111,18,252.6,235.4832984,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[0, 342, 13]","[1, 40, 14]","[1, 104, 28]","[0, 40, 29]","[1, 210, 30]","[1, 410, 31]","[0, 40, 31]","[0, 40, 31]","[0, 552, 31]","[0, 71, 33]","[1, 40, 34]","[1, 71, 35]","[0, 40, 35]",294.65,21.15,35,210,,111,19,180.49,338.9494016,,,
