0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1787, 4]","[0, 52, 4]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 15]","[0, 52, 16]","[0, 564, 17]","[1, 150, 20]","[1, 83, 20]","[1, 521, 20]","[0, 52, 20]","[0, 52, 21]","[0, 52, 21]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 663, 10]","[1, 52, 10]","[1, 116, 16]","[0, 52, 17]","[0, 564, 19]","[1, 150, 26]","[1, 83, 26]","[1, 521, 27]","[0, 52, 27]","[0, 52, 27]","[0, 52, 27]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 17]","[1, 150, 17]","[0, 52, 17]","[1, 521, 18]","[0, 52, 18]","[0, 52, 18]","[0, 564, 19]","[1, 83, 19]","[0, 83, 19]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 16]","[0, 52, 17]","[0, 564, 19]","[1, 150, 19]","[1, 83, 20]","[0, 52, 21]","[0, 52, 21]","[1, 521, 21]","[0, 52, 21]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 21]","[1, 52, 21]","[0, 1500, 21]","[1, 52, 21]","[0, 663, 21]","[1, 52, 21]","[1, 116, 28]","[0, 52, 28]","[0, 564, 30]","[1, 150, 30]","[1, 83, 30]","[1, 521, 30]","[0, 52, 31]","[0, 52, 31]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1883, 5]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 18]","[0, 52, 19]","[0, 564, 20]","[1, 150, 31]","[1, 83, 31]","[1, 521, 31]","[0, 52, 31]","[0, 52, 31]","[0, 52, 31]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 1819, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 11]","[1, 52, 11]","[1, 116, 17]","[0, 52, 18]","[1, 150, 18]","[1, 521, 18]","[0, 52, 18]","[0, 52, 19]","[0, 564, 19]","[1, 83, 19]","[0, 83, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1819, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 664, 9]","[1, 52, 9]","[1, 116, 15]","[0, 52, 16]","[0, 564, 18]","[1, 150, 20]","[1, 83, 21]","[1, 521, 21]","[0, 52, 21]","[0, 52, 21]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 663, 10]","[1, 52, 10]","[1, 116, 17]","[1, 150, 17]","[0, 52, 17]","[1, 521, 18]","[0, 52, 18]","[0, 52, 18]","[0, 564, 19]","[1, 83, 19]","[0, 83, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 12]","[1, 52, 12]","[0, 1500, 12]","[1, 52, 12]","[0, 664, 12]","[1, 52, 12]","[1, 116, 19]","[0, 52, 19]","[1, 150, 21]","[1, 521, 21]","[0, 52, 21]","[0, 564, 21]","[1, 83, 21]","[0, 52, 21]","[0, 52, 22]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 663, 10]","[1, 52, 10]","[1, 116, 18]","[0, 52, 19]","[0, 564, 21]","[1, 150, 26]","[1, 83, 26]","[1, 521, 26]","[0, 52, 27]","[0, 52, 27]","[0, 83, 29]",121
"[1, 60, 0]","[0, 60, 7]","[1, 52, 8]","[1, 1819, 8]","[0, 52, 10]","[0, 52, 10]","[0, 1500, 14]","[1, 52, 14]","[0, 1500, 14]","[1, 52, 14]","[0, 664, 14]","[1, 52, 14]","[1, 116, 20]","[1, 150, 20]","[1, 521, 21]","[0, 52, 22]","[0, 573, 24]","[1, 83, 24]","[0, 52, 24]","[0, 304, 32]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1819, 5]","[0, 52, 6]","[0, 52, 6]","[0, 1500, 12]","[1, 52, 12]","[0, 1500, 12]","[1, 52, 12]","[0, 665, 12]","[1, 52, 12]","[1, 116, 19]","[0, 52, 20]","[0, 564, 22]","[1, 150, 25]","[1, 83, 25]","[1, 521, 25]","[0, 52, 26]","[0, 52, 26]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1883, 5]","[0, 52, 6]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 19]","[1, 150, 19]","[1, 521, 19]","[0, 52, 20]","[0, 52, 20]","[0, 52, 20]","[0, 573, 22]","[1, 83, 22]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1819, 4]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 664, 9]","[1, 52, 9]","[1, 116, 17]","[0, 52, 18]","[0, 564, 19]","[1, 150, 30]","[1, 83, 30]","[1, 521, 30]","[0, 52, 31]","[0, 52, 31]","[0, 52, 31]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 665, 9]","[1, 52, 9]","[1, 116, 14]","[0, 52, 15]","[0, 564, 17]","[1, 150, 22]","[1, 83, 22]","[1, 521, 22]","[0, 52, 26]","[0, 83, 28]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 6]","[1, 1819, 6]","[0, 52, 7]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 665, 11]","[1, 52, 11]","[1, 116, 19]","[1, 150, 19]","[1, 521, 20]","[0, 52, 20]","[0, 52, 21]","[0, 52, 21]","[0, 564, 21]","[1, 83, 22]","[0, 52, 22]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 17]","[0, 52, 17]","[0, 564, 19]","[1, 150, 22]","[1, 83, 22]","[1, 521, 22]","[0, 52, 23]","[0, 52, 23]","[0, 83, 26]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 19]","[1, 150, 20]","[1, 521, 20]","[0, 52, 20]","[0, 52, 20]","[0, 564, 22]","[0, 83, 22]","[1, 52, 22]","[1, 83, 22]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1883, 5]","[0, 52, 7]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 665, 10]","[1, 52, 10]","[1, 116, 18]","[1, 150, 18]","[1, 521, 18]","[0, 52, 19]","[0, 52, 19]","[0, 52, 19]","[0, 564, 20]","[1, 83, 20]","[0, 83, 21]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 20]","[0, 52, 20]","[0, 564, 22]","[1, 150, 24]","[1, 83, 24]","[1, 521, 24]","[0, 52, 25]","[0, 52, 25]","[0, 52, 25]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 663, 11]","[1, 52, 11]","[1, 116, 18]","[1, 150, 18]","[1, 521, 19]","[0, 52, 19]","[0, 52, 19]","[0, 52, 19]","[0, 564, 20]","[1, 83, 20]","[0, 83, 21]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1851, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 16]","[0, 52, 17]","[0, 564, 18]","[1, 150, 28]","[1, 83, 28]","[1, 521, 28]","[0, 52, 29]","[0, 52, 29]","[0, 52, 29]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 17]","[1, 150, 18]","[0, 52, 18]","[1, 521, 18]","[0, 52, 19]","[0, 52, 19]","[0, 564, 20]","[0, 83, 20]","[1, 52, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1819, 5]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 665, 11]","[1, 52, 11]","[1, 116, 16]","[0, 52, 17]","[1, 150, 18]","[1, 521, 19]","[0, 52, 19]","[0, 564, 19]","[0, 52, 19]","[1, 83, 19]","[0, 52, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 16]","[1, 150, 17]","[1, 521, 17]","[0, 52, 17]","[0, 52, 17]","[0, 52, 18]","[0, 573, 19]","[1, 83, 20]","[0, 52, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1819, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 17]","[1, 150, 18]","[1, 521, 18]","[0, 52, 18]","[0, 52, 18]","[0, 52, 18]","[0, 573, 20]","[1, 83, 20]","[0, 52, 21]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 18]","[1, 150, 18]","[1, 521, 18]","[0, 52, 19]","[0, 52, 19]","[0, 52, 19]","[0, 573, 20]","[1, 83, 21]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 16]","[0, 52, 16]","[0, 564, 18]","[1, 150, 25]","[1, 83, 25]","[1, 521, 26]","[0, 52, 26]","[0, 52, 26]","[0, 52, 26]",121
"[1, 60, 0]","[0, 60, 10]","[1, 52, 10]","[1, 1787, 11]","[0, 52, 16]","[0, 52, 16]","[0, 1500, 23]","[1, 52, 23]","[0, 1500, 23]","[1, 52, 23]","[0, 665, 23]","[1, 52, 23]","[1, 116, 30]","[1, 150, 30]","[1, 521, 31]","[0, 52, 34]","[0, 52, 34]","[0, 52, 34]","[0, 564, 39]","[0, 83, 39]",121
"[1, 60, 0]","[0, 60, 55]","[1, 52, 55]","[1, 1851, 56]","[0, 52, 59]","[0, 52, 59]","[0, 1500, 67]","[1, 52, 67]","[0, 1500, 67]","[1, 52, 67]","[0, 665, 67]","[1, 52, 67]","[1, 116, 77]","[1, 150, 78]","[1, 521, 78]","[0, 52, 85]","[0, 52, 87]","[0, 52, 87]","[0, 564, 90]","[0, 83, 90]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1851, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 16]","[0, 52, 17]","[0, 564, 19]","[1, 150, 20]","[1, 83, 20]","[1, 521, 20]","[0, 52, 21]","[0, 52, 21]","[0, 83, 22]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 4]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 16]","[0, 52, 16]","[0, 564, 18]","[1, 150, 18]","[1, 83, 19]","[1, 521, 19]","[0, 52, 19]","[0, 52, 19]","[0, 52, 19]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1819, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 15]","[1, 150, 16]","[1, 521, 16]","[0, 52, 16]","[0, 52, 17]","[0, 52, 17]","[0, 564, 18]","[0, 83, 18]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1819, 5]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 12]","[1, 52, 12]","[0, 665, 12]","[1, 52, 12]","[1, 116, 18]","[0, 52, 19]","[0, 564, 21]","[1, 150, 22]","[1, 83, 22]","[1, 521, 22]","[0, 52, 22]","[0, 52, 22]","[0, 52, 22]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1819, 5]","[0, 52, 6]","[0, 52, 8]","[0, 1500, 12]","[1, 52, 12]","[0, 1500, 12]","[1, 52, 12]","[0, 665, 12]","[1, 52, 12]","[1, 116, 18]","[0, 52, 19]","[0, 564, 20]","[1, 150, 32]","[1, 83, 32]","[1, 521, 32]","[0, 52, 33]","[0, 52, 33]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 663, 11]","[1, 52, 11]","[1, 116, 17]","[0, 52, 18]","[0, 564, 19]","[1, 150, 24]","[1, 83, 24]","[1, 521, 24]","[0, 52, 24]","[0, 52, 25]","[0, 83, 26]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 6]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 16]","[0, 52, 16]","[0, 564, 18]","[1, 150, 26]","[1, 83, 26]","[1, 521, 26]","[0, 52, 27]","[0, 83, 29]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 5]","[1, 1883, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 663, 11]","[1, 52, 11]","[1, 116, 19]","[1, 150, 20]","[0, 52, 20]","[1, 521, 20]","[0, 52, 20]","[0, 52, 21]","[0, 564, 22]","[0, 83, 22]","[1, 52, 22]",121
"[1, 60, 0]","[0, 60, 5]","[1, 52, 5]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 21]","[1, 150, 21]","[1, 521, 21]","[0, 52, 22]","[0, 52, 22]","[0, 52, 22]","[0, 573, 23]","[1, 83, 24]","[0, 52, 24]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 663, 11]","[1, 52, 11]","[1, 116, 19]","[1, 150, 19]","[1, 521, 19]","[0, 52, 20]","[0, 52, 20]","[0, 52, 20]","[0, 564, 22]","[0, 83, 22]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 665, 9]","[1, 52, 9]","[1, 116, 15]","[1, 150, 15]","[1, 521, 15]","[0, 52, 15]","[0, 52, 16]","[0, 52, 16]","[0, 564, 17]","[0, 83, 17]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 663, 10]","[1, 52, 10]","[1, 116, 15]","[1, 150, 16]","[1, 521, 16]","[0, 52, 17]","[0, 52, 17]","[0, 52, 17]","[0, 573, 18]","[1, 83, 18]","[0, 52, 19]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 5]","[0, 52, 6]","[0, 1500, 12]","[1, 52, 12]","[0, 1500, 12]","[1, 52, 12]","[0, 665, 12]","[1, 52, 12]","[1, 116, 18]","[0, 52, 20]","[0, 564, 21]","[1, 150, 22]","[1, 83, 22]","[1, 521, 22]","[0, 52, 22]","[0, 52, 23]","[0, 83, 24]",121
"[1, 60, 0]","[0, 60, 17]","[1, 52, 17]","[1, 1883, 17]","[0, 52, 22]","[0, 52, 22]","[0, 1500, 28]","[1, 52, 28]","[0, 1500, 28]","[1, 52, 28]","[0, 663, 28]","[1, 52, 28]","[1, 116, 36]","[1, 150, 37]","[1, 521, 37]","[0, 52, 40]","[0, 52, 40]","[0, 52, 41]","[0, 564, 43]","[0, 83, 43]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 6]","[0, 1500, 12]","[1, 52, 12]","[0, 1500, 12]","[1, 52, 12]","[0, 665, 12]","[1, 52, 12]","[1, 116, 18]","[0, 52, 18]","[0, 564, 21]","[1, 150, 25]","[1, 83, 25]","[1, 521, 25]","[0, 52, 26]","[0, 52, 26]","[0, 52, 26]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 17]","[1, 150, 18]","[1, 521, 18]","[0, 52, 18]","[0, 52, 18]","[0, 52, 18]","[0, 564, 20]","[0, 83, 20]","[1, 52, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1819, 4]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 664, 9]","[1, 52, 9]","[1, 116, 17]","[1, 150, 18]","[1, 521, 18]","[0, 52, 18]","[0, 52, 18]","[0, 52, 18]","[0, 573, 20]","[1, 83, 20]","[0, 52, 20]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 1851, 4]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 15]","[1, 150, 15]","[1, 521, 16]","[0, 52, 16]","[0, 52, 16]","[0, 52, 16]","[0, 564, 17]","[0, 83, 18]","[1, 52, 18]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1819, 4]","[0, 52, 5]","[0, 1500, 12]","[1, 52, 12]","[0, 1500, 12]","[1, 52, 12]","[0, 663, 12]","[1, 52, 12]","[1, 116, 20]","[1, 150, 21]","[1, 521, 21]","[0, 52, 21]","[0, 52, 22]","[0, 52, 22]","[0, 564, 23]","[1, 83, 23]","[0, 83, 23]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 4]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 17]","[1, 150, 18]","[1, 521, 18]","[0, 52, 19]","[0, 52, 19]","[0, 573, 20]","[1, 83, 21]","[0, 52, 21]","[0, 304, 29]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 4]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 12]","[1, 52, 12]","[1, 116, 18]","[1, 150, 19]","[1, 521, 19]","[0, 52, 20]","[0, 52, 20]","[0, 52, 20]","[0, 573, 22]","[1, 83, 22]","[0, 52, 22]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 665, 9]","[1, 52, 10]","[1, 116, 16]","[1, 150, 17]","[1, 521, 17]","[0, 52, 17]","[0, 52, 18]","[0, 52, 18]","[0, 595, 19]","[1, 83, 19]","[0, 52, 19]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1851, 3]","[0, 52, 4]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 16]","[1, 150, 17]","[1, 521, 17]","[0, 52, 17]","[0, 52, 18]","[0, 52, 18]","[0, 564, 19]","[1, 83, 19]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1819, 4]","[0, 52, 4]","[0, 52, 5]","[0, 1500, 8]","[1, 52, 8]","[0, 1500, 8]","[0, 664, 8]","[1, 52, 8]","[1, 52, 8]","[1, 116, 15]","[1, 150, 16]","[1, 521, 16]","[0, 52, 16]","[0, 52, 16]","[0, 52, 16]","[0, 564, 19]","[0, 83, 19]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1883, 4]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 664, 10]","[1, 52, 10]","[1, 116, 15]","[0, 52, 16]","[0, 564, 18]","[1, 150, 20]","[1, 83, 20]","[1, 521, 20]","[0, 52, 20]","[0, 52, 20]","[0, 52, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 664, 9]","[1, 52, 9]","[1, 116, 15]","[1, 150, 15]","[1, 521, 16]","[0, 52, 16]","[0, 52, 16]","[0, 52, 16]","[0, 564, 18]","[0, 83, 18]",121
